#,Drużyna,M,W,R,P,B,RB,P
1.,Lech Poznań,34,22,8,4,67:24,43,74
2.,Raków Częstochowa,34,20,9,5,60:30,30,69
3.,Pogoń Szczecin,34,18,11,5,63:31,32,65
4.,Lechia Gdańsk,34,16,9,9,52:39,13,57
5.,Piast Gliwice,34,15,9,10,45:37,8,54
6.,Wisła Płock,34,15,3,16,48:51,-3,48
7.,Radomiak Radom,34,11,15,8,42:40,2,48
8.,Górnik Zabrze,34,13,8,13,55:55,0,47
9.,Cracovia,34,12,10,12,40:42,-2,46
10.,Legia Warszawa,34,13,4,17,46:48,-2,43
11.,Warta Poznań,34,11,9,14,35:38,-3,42
12.,Jagiellonia Białystok,34,9,13,12,39:50,-11,40
13.,Zagłębie Lubin,34,11,5,18,43:59,-16,38
14.,Stal Mielec,34,9,10,15,39:52,-13,37
15.,Śląsk Wrocław,34,7,14,13,42:52,-10,35
16.,Bruk-Bet T.,34,7,11,16,36:56,-20,32
17.,Wisła Kraków,34,7,10,17,37:54,-17,31
18.,Górnik Łęczna,34,6,10,18,29:60,-31,28
